year,month,averageSeaTemp,cages,localities,numberSalmon,biomass,feedConsumption,restock,withdrawals
2012,March,5.7110259192,272,54,31342.813,64908.455649,9199.484,3227.878,11623.838482
2012,April,6.2196501981,268,55,32840.649,60139.112325,7720.703,5337.334,8913.764828
2012,May,7.1621630879,301,55,38254.85,57715.262347,9520.516,8351.23,10726.36744
2012,June,8.1498821422,312,55,39439.836,58801.376953,11093.15,2367.61,9305.170253
2012,July,9.5276806945,296,51,38250.168,60072.72015,15092.92,1104.366,10626.705804
2012,August,10.4570404176,300,52,36339.912,61949.212045,17557.997,999.966,12173.991693
2012,September,11.2523820662,336,59,39228.816,67757.28331,17328.781,4658.501,8400.70488
2012,October,9.8438026388,345,60,43678.174,74095.239593,17601.766,6430.28,9462.395802
2012,November,8.5524282998,358,62,42543.459,72944.858732,14533.363,1299.297,12198.594595
2012,December,6.9724617029,346,57,41294.64,71236.692027,11335.184,1130.774,9689.740347
2013,January,5.6114405866,323,56,40213.209,74248.167995,10382.225,0,4920.692877
2013,February,4.5835381451,318,54,39092.938,75011.004028,7320.192,0,5220.720604
2013,March,4.7754036636,302,50,37424.026,71236.821673,6188.601,8.072,8268.635231
2013,April,5.028977925,301,50,36648.111,72844.30879,7818.636,240.467,4740.319524
2013,May,6.4881292121,353,56,42727.957,76763.159269,10663.029,5270.566,4713.766908
2013,June,7.9856495962,344,58,43309.882,81730.597383,14762.229,2180.113,8580.559633
2013,July,9.6880092662,351,56,40610.743,83218.287672,19723.561,596.123,14851.216149
2013,August,10.8127694836,373,59,39118.694,90020.398422,23688.297,903.472,13027.136381
2013,September,11.0102548223,337,60,37572.74,87325.050629,21299.742,2809.216,15799.345999
2013,October,9.9778730355,349,55,35534.975,86528.71159,19181.851,1000.589,13941.788803
2013,November,9.1964969788,310,50,32655.011,83570.853777,15241.526,151.199,15175.878743
2013,December,7.6928382091,313,47,29195.617,76288.143809,13121.754,3.07,17246.431596
2014,January,6.5958084824,294,42,27409.466,75692.644765,11308.274,0,7652.904985
2014,February,5.1537432453,281,42,26360.192,76413.74291,9563.439,515.186,7576.408518
2014,March,5.2068394631,275,48,28665.656,71942.617741,9455.893,4522.702,12546.114275
2014,April,5.971724525,305,56,30840.135,62313.361585,8725.012,5730.366,17697.285384
2014,May,7.3593268829,346,55,36873.619,52432.055273,8636.143,8996.444,16951.728582
2014,June,8.5803331437,325,53,35464.183,44709.151423,9235.19,3502.596,14652.333519
2014,July,9.4750570021,344,57,40219.725,45743.122137,11517.661,5745.722,8913.207281
2014,August,10.7394842845,354,60,42567.509,51355.689395,14051.563,2715.991,6068.773664
2014,September,11.0031320736,442,64,51087.838,56644.30187,15506.307,10612.067,8161.452
2014,October,10.9136680181,451,65,51115.084,64823.158483,17930.369,1922.326,6785.577875
2014,November,9.676586495,456,68,51613.414,72705.661964,15551.342,753.706,6389.161625
2014,December,7.989586241,447,64,50175.608,78769.382727,14898.476,0,6229.40975
