year,month,Troms-averageTemp,Troms-cages,Troms-localities,Troms-numberSalmon,Troms-biomass,Troms-feedConsumption,Troms-restock,Troms-withdrawals,Finnmark-averageTemp,Finnmark-cages,Finnmark-localities,Finnmark-numberSalmon,Finnmark-biomass,Finnmark-feedConsumption,Finnmark-restock,Finnmark-withdrawals
2008,November,7.29,403,55,35017,57766,10454,775.38,13281.18,6.3493159943,253,33,16719.665,26173.89816,4163,381.119,4068.808861
2008,December,5.62,382,55,33250,55702,7661,0,10384.1,5.3497956157,239,34,15915.518,25309.879808,2822.831,0,3846.713445
2009,January,4.49,365,52,31698,53268,6427,175.8,7668.01,4.4701043097,226,27,15042.9,24031.227638,2308.819,0,2916.557
2009,February,3.43,353,50,30619,52356,5008,88.5,4635.38,3.5583378814,211,26,14244.888,21694.190436,1793.162,0,3482.258836
2009,March,3.25,335,48,28885,47648,5203,0,8602.79,3.0166161392,196,23,13456.716,19723.933371,1566.692,0,3404.52625
2009,April,3.58,336,53,30062,44863,4411,2487.94,6317.43,3.0557118253,190,20,12998.124,18745.145358,1305.189,0,1899.228788
2009,May,5.28,381,57,33615,43814,5906,5062.9,4975.84,3.9703721877,243,28,17301.512,19236.858901,1816.505,4002.352,1168.34625
2009,June,7.06,456,60,39740,45956,8629,7568.01,4890.86,5.2310363959,277,30,20137.609,20197.98676,3218.458,3285.913,1768.678875
2009,July,7.96,455,56,39575,53370,14689,1329.23,4369.21,5.9363543618,300,32,22100.244,25317.679665,5819.161,2093.742,116.377875
2009,August,9.06,452,59,40859,61672,18151,3293.45,6047.43,6.6959923265,303,32,22094.609,31202.19121,9381.207,912.037,1409.633047
2009,September,9.89,444,59,40505,64728,17215,2456.85,11241.73,7.72858051,311,33,22090.999,36182.730916,10091.828,983.108,3292.666657
2009,October,8.69,432,58,40801,67019,17123,1987.88,11391.52,7.2398530241,300,34,20730.889,39958.561954,9146.66,0,3962.4156
2009,November,7.32,406,55,38249,66597,13998,0,12003.72,6.3833591032,285,33,19906.624,41649.946371,7130.267,177.211,4068.808861
2009,December,5.7,382,52,36251,65496,10017,0,9263.46,5.5071290229,283,34,19758.565,41831.312814,4864.937,709.151,3846.713445
2010,January,4.05,360,48,31698,62517.823601,6932,0,8419.45,4.2117774041,245,31,18138.641,39109.466419,3355.444,0,4145.826946
2010,February,3.12,341,47,28885,60772.090862,5750,0,6028.73,3.2184542433,246,31,17694.794,36588.669229,2421.411,0,5176.092813
2010,March,2.51,321,46,33615,58793.808891,5690,0,6058.2,2.589713378,228,28,16554.491,32578.00051,1848.03,0,4975.717091
2010,April,3.25,319,50,39575,56739.576046,4989,2860.79,4577.44,2.7075445774,245,31,17582.713,29993.770477,1817.292,2326.29,3833.194086
2010,May,4.79,383,55,40505,57162.147964,7459,6864.4,5406.64,3.5184761526,274,36,20629.924,29478.117688,2889.19,4194.759,2307.10275
2010,June,6.41,437,57,38249,56611.735528,11138,3580.9,6740.99,4.6707859958,301,40,23584.755,32027.86147,5292.227,4029.518,1623.551625
2010,July,7.86,435,51,37067,62524.322989,15985,1544.69,6887.81,5.9045435803,309,39,24819.949,37444.6664,8414.26,1981.442,1524.327875
2010,August,8.69,432,59,38949,66392.150819,19424,4868.89,12882.89,6.6097903457,311,40,25454.682,41892.721223,11062.233,1966.771,4822.8365
2010,September,8.52,417,55,37689,69288.427002,17896,2065.67,12799.43,6.7356471965,300,39,24545.419,44390.08521,10739.453,639.095,5676.618413
2010,October,8.26,420,53,38415,70333.041459,15923,3349.37,11964.21,6.6784583022,289,39,24009.807,46697.402042,10160.567,892.543,5807.577375
2010,November,6.5,415,53,36859,69046.918277,13252,519.07,13127.32,5.7650173028,277,37,23712.16,45896.672756,7111.882,1053.736,6103.820713
2010,December,4.85,393,50,35141,67737.113066,9301,0,9047.69,4.5778551352,257,34,22506.945,44230.095265,5178.174,0,4087.11075
2011,January,3.6,375,49,33525,65164,6959,0,7856.06,3.479983963,246,35,21304.079,41182.266612,4224.556,0,5779.237599
2011,February,2.84,360,45,32216,61939,4924,0,7151.16,2.6213270461,228,32,20042.889,37131.351671,2772.267,0,5658.416769
2011,March,2.79,338,44,30410,56742,4688,0,8704.31,2.5180726648,218,31,19122.989,35194.386823,2478.106,0,3767.28325
2011,April,3.38,335,47,30904,54885,4914,1969.65,5592.77,2.8616637741,218,33,19022.487,33036.362618,2359.097,806.522,3862.651625
2011,May,4.96,358,52,35467,54746,7080,5819.71,6204.52,3.8825342767,244,36,23983.364,30781.447356,2945.876,6231.882,4595.080375
2011,June,6.77,428,56,39400,55028,9384,6773.61,8059.32,4.9409414653,284,40,29171.849,33393.149502,4732.122,6054.449,1815.454125
2011,July,8.07,427,54,39892,57925,15017,2319.37,9359.8,5.9721029097,308,39,31048.178,40041.958525,8465.119,2978.327,478.0575
2011,August,8.47,435,59,42090,65991,18930,4274.74,7790.74,6.4355945198,320,39,32580.011,48212.103446,12980.11,2607.05,2692.8465
2011,September,8.82,436,57,43016,69178,19143,3904.14,12205.81,6.9075838275,314,43,31546.953,54174.589389,13544.516,2335.296,4960.624125
2011,October,8.68,446,53,45165,71943,17538,4007.69,12136.18,7.1371422114,304,40,31912.106,57195.977346,12601.857,806.444,8007.924577
2011,November,7.88,421,53,42730,70666,13656,288.04,13529.95,6.6154815959,294,37,30894.654,58329.231423,9936.417,394.674,7305.06675
2011,December,6.48,398,49,40320,68546,10603,0,10240.9,5.8791173874,280,37,29696.011,59579.844876,8187.232,0,5777.038
2012,January,4.88,380,49,38692,67419,9516,0,9116.34,4.8321788486,272,36,28638.038,59869.743698,6704.039,0,5149.63775
2012,February,3.7,353,45,35143,65215,6883,0,7862.54,3.6838461442,256,34,27163.641,55573.330933,4587.753,0,7280.236214
2012,March,3.67,340,44,34028,65183,6638,0,7397.5,3.5398018121,223,30,24514.889,46139.385707,4040.02,0,6444.376729
2012,April,4.08,337,49,36983,62331,6563,5032.5,6474.3,3.730361517,232,32,24698.48,43746.309285,3457.754,1219.833,5016.38575
2012,May,5.14,369,55,41642,60220,8119,6609.29,8888.6,4.5580774046,284,41,31663.255,46777.024774,4469.758,7578.278,5940.977625
2012,June,6.67,421,55,44712,61237,11766,5187.07,10009.19,5.5254688949,303,42,33324.905,40896.431416,6101.095,4204.719,5676.785625
2012,July,8.17,411,53,44330,65857,17310,1815.4,7358.49,6.269680696,356,45,36841.441,49838.98294,10477.264,4209.799,4460.983875
2012,August,9.11,436,57,46769,76853,22633,2655.49,11214.96,6.999899536,374,45,37112.671,58545.707641,15924.037,1556.016,5343.23375
2012,September,9.39,459,57,51156,82537,21961,6868.8,12894.34,7.6513701464,366,45,36118.35,64505.391439,15736.469,960.408,7899.790507
2012,October,8.19,458,55,50470,86384,20533,2245.04,15645.46,7.0276193587,348,42,34112.403,65974.997268,14894.599,1363.317,8286.955125
2012,November,6.7,441,56,47912,84381,17013,360.48,16765.38,6.2463032742,334,42,32431.056,66520.249463,12193.34,287.42,8062.633125
2012,December,4.95,405,51,44471,77606,12028,0,14839.13,4.9248645866,327,42,32837.268,69805.170099,9295.22,644.76,6408.036
2013,January,4.09,392,50,42170,73838,9281,0,12468.89,4.1834612076,296,41,30713.615,65790.860246,7623.888,0,9869.58
2013,February,3.32,370,44,40886,71332,7183,0,7078.07,3.4593454542,259,36,28281.27,59952.495731,5654.396,0,9249.678
2013,March,2.8,352,44,39444,70404,6587,0,7666,2.8266193342,229,30,25776.199,52565.161066,4572.192,0,8019.512133
2013,April,2.99,351,49,40709,66052,5727,3672.54,8601.3,2.6871763807,223,31,24963.572,51588.077429,3624.121,0,5272.28775
2013,May,4.91,402,56,46768,62251,8225,9458.55,10898.93,3.7367057167,231,34,26009.686,46807.417277,4457.6,2286.812,8137.938375
2013,June,6.88,437,56,51655,69778,13325,5594.94,7630.86,4.9090460595,287,41,33031.316,45970.733265,7169.007,8314.896,6977.721375
2013,July,8.95,454,57,50302,72726,20532,2162.19,9413.75,6.4515195182,311,41,35294.353,52198.029601,12882.41,3226.456,4224.4245
2013,August,10.11,461,56,51519,83659,25397,3996.37,10525.63,7.6564434616,317,40,35659.092,58828.338817,16835.029,2068.294,6742.693125
2013,September,10.23,463,56,51505,86090,23184,4039.75,14868.16,8.0763875682,316,42,34975.185,65554.090803,17309.628,1204.696,6803.978247
2013,October,8.82,475,58,53556,89848,22540,5501.07,17124.1,7.4778892643,314,40,33468.931,68153.462852,16669.275,973.685,8065.23975
2013,November,7.09,441,57,50574,87198,17614,704.02,17446.26,6.5170561556,302,39,32925.122,73296.612896,13334.069,323.764,6051.27375
2013,December,5.61,425,56,48034,85937,12655,0,13174.91,5.3583940435,294,39,31823.14,73013.079762,10027.332,546.059,7441.73325
2014,January,4.5,398,53,44994,81628,10645,0,14177.66,4.4264214204,271,38,30078.919,71981.599603,9212.201,0,8258.734125
2014,February,3.58,371,45,42571,78366,9255,0,10178.13,3.6570693272,250,34,28229.723,66827.502565,6302.467,0,9142.252037
2014,March,3.53,348,45,40287,74227,8604,0,10956.05,3.505809794,228,33,26207.868,60618.3279,6379.935,0,10700.161875
2014,April,3.84,353,51,41393,72132,7973,3515.75,8302.7,3.5575452663,211,30,24895.53,54221.042536,5045.846,609.604,10140.058125
2014,May,5.22,399,58,46464,68063,9028,8196.07,12527.77,4.2488755463,249,39,29024.639,53895.644326,5716.143,5446.013,5260.807125
2014,June,6.93,428,58,49935,65626,12750,7200.35,11042.9,5.2075254419,284,40,32721.331,53299.615446,7636.576,5110.187,6463.50075
2014,July,8.22,437,52,51965,76667,20006,3141.66,7660.56,5.9326210911,289,40,33043.838,53681.497851,12006.55,5081.269,4861.693125
2014,August,9.04,455,56,55217,83282,22894,6236.2,12313.09,6.7919382928,322,43,37029.778,65556.633495,16618.985,2415.593,5966.881875
2014,September,9.15,480,56,57439,94040,25144,4173.06,14408.71,7.3363173856,317,43,35823.934,69067.86349,16040.882,1017.183,8814.101625
2014,October,8.23,485,58,59172,100772,25719,5382.52,13514.48,6.8661772083,307,41,34058.296,70526.58597,14673.057,552.737,10198.87875
2014,November,6.76,462,61,56114,100125,20351,0,13206.74,5.9336283697,292,40,32563.318,67305.799624,11350.991,959.022,11808.529875
2014,December,6.55,475,58,56735,102225,14602,198,16534.94,5.4179344494,274,38,30679.565,64751.018615,8578.746,0,9364.61475
