year,month,price,cages,localities,numberSalmon,biomass,feedConsumption,restock,withdrawals
2012,June,27.21,3864,605,376942.55,575786.61,113893.38,19798.4,102409.8
2012,July,26.97,3750,572,365263.38,609704,156523.63,11322.6,96952.49
2012,August,27.47,3862,594,371166.04,669762.83,192146.61,26135.84,102450.8
2012,September,27.65,4079,644,394639.54,707158.64,182553.53,49288.54,105223.92
2012,October,25.27,4156,639,402262.45,727893.1,172588.48,35721.71,118361.83
2012,November,26.8,4063,626,383978.34,723931.73,142922.37,6337.51,113986.62
2012,December,29.37,3872,588,364336.68,708518.07,109275.12,3038.95,98679.92
2013,January,34.21,3672,561,347214.39,687178.43,86302.87,1884.54,89174.4
2013,February,35.69,3491,535,332244.72,659301.24,62579.95,681.23,74545.4
2013,March,37.87,3331,521,320139.88,616657.29,58240.09,7424.64,85337.33
2013,April,40.95,3400,545,334318.38,580228.76,59866.55,30506.02,85559.46
2013,May,42.86,3705,592,370248.15,555800.9,81518.12,53388.19,90286.24
2013,June,40.38,3876,581,393008.62,574555.32,114967.4,39952.37,81147.17
2013,July,44.23,3816,562,379346.29,612385.56,161278.52,11329.32,87492.57
2013,August,41.51,3903,590,386422.35,677375.04,197004.54,28603.98,93936.14
2013,September,34.67,4006,641,406540.5,708590.15,188743.94,47958.64,112955.73
2013,October,36.32,4140,627,419156.27,729621.49,179114.25,40310.89,122900.07
2013,November,38.79,3964,603,400552.23,729983.5,145066.54,6755.01,113298.5
2013,December,46.21,3815,571,379869.88,726350.58,121104.47,1696.88,99588.4
2014,January,49.69,3605,556,359308.45,717168.97,102766.8,691.97,92484.01
2014,February,47.77,3411,527,340270.62,701409.21,84647.57,769.16,78959.71
2014,March,44.57,3320,532,333446.67,669836.98,82442.15,11281.42,97549.31
2014,April,45.16,3409,574,349723.28,637319.02,82645.2,35770.89,99800.48
2014,May,41.95,3731,593,385645.78,620945.85,98984.82,57997.55,99436.9
2014,June,37.39,3717,573,383405.07,608332.59,121106.4,25738.57,106075.24
2014,July,39.59,3641,561,378139.42,636112.25,160711.92,20435.54,98191.63
2014,August,36.75,3795,599,393545.38,688996.57,184344.2,34345.49,102921.1
2014,September,34.85,4017,627,418787.79,731858.68,191080.88,51670.34,115593.47
2014,October,35.25,3990,607,420618.54,742662.14,178472.2,34598.28,121749.31
2014,November,39.07,3895,590,406135.22,759239.83,156869.51,7494.78,106291.64
2014,December,44.72,3755,570,386057.07,760608.07,129369.72,632.76,101361.24
2015,January,45.82,3562,546,365676.29,748306.94,109459.11,1749.8,91851.4
2015,February,42.42,3352,530,344243.2,722951.84,86701.52,1572.61,85659.45
2015,March,41.01,3189,520,330542.62,676979.77,87614.32,9075.13,111079.42
2015,April,40.39,3391,563,357345.59,651237.9,84920.27,39789.59,100733.48
2015,May,38.65,3685,591,387906.34,625114.34,94545.16,52792.01,97900.43
2015,June,40.29,3715,571,388153.82,604698.31,112219.59,24281.13,104579.19
2015,July,43.03,3634,564,386648.35,630016.41,152022.95,21963.27,92973.03
2015,August,44.92,3701,590,395716.14,683583.95,186930.57,35217.84,99683.12
2015,September,41.67,3846,621,415558.16,705079.16,181735.24,49325.72,116555.28
2015,October,41.57,3978,603,422707.29,719002,177400.71,37956.05,119680.7
2015,November,43.26,3828,591,405427.08,724343.89,153730.23,11480.02,112938.35
2015,December,50.38,3637,563,383820.66,721597.26,126324.27,2182.7,102943.51
2016,January,56.94,3455,536,365407.81,708160.23,101042.9,1908.86,87668.88
2016,February,52.94,3257,516,343837.25,686122.69,85142.45,1502.95,86087.91
2016,March,58.77,3191,530,337209.9,654365.97,82087.55,13893.97,96610.77
2016,April,58.45,3332,542,353585.47,621418.49,77419.12,33067.22,96240.41
2016,May,59.84,3566,560,386502.56,603083.52,94800.36,49827.65,95377.24
2016,June,63.7,3591,549,389728.6,606427.32,114355.99,22777.28,85817.35
2016,July,67.87,3537,558,385374.16,650215.69,159361.88,17469.84,82256.78
2016,August,58.58,3627,590,395811,685508.9,189052,38099.76,108952.6
2016,September,54.74,3799,611,416700.9,714151.92,189925.8,52308.12,120477.03
2016,October,58.85,3849,595,424065.04,740199.75,173373.6,35891.37,109251.01
2016,November,61.44,3751,580,407096.96,741912.42,151391.09,10812.29,113805.67
2016,December,67.3,3625,560,385257.02,740446.9,126077.28,2876.96,97287.89
