year,month,averageTemp,cages,localities,numberSalmon,biomass,feedConsumption,restock,withdrawals
2013,November,7.09,441,57,50574,87198,17614,704.02,17446.26
2013,December,5.61,425,56,48034,85937,12655,0,13174.91
2014,January,4.5,398,53,44994,81628,10645,0,14177.66
2014,February,3.58,371,45,42571,78366,9255,0,10178.13
2014,March,3.53,348,45,40287,74227,8604,0,10956.05
2014,April,3.84,353,51,41393,72132,7973,3515.75,8302.7
2014,May,5.22,399,58,46464,68063,9028,8196.07,12527.77
2014,June,6.93,428,58,49935,65626,12750,7200.35,11042.9
2014,July,8.22,437,52,51965,76667,20006,3141.66,7660.56
2014,August,9.04,455,56,55217,83282,22894,6236.2,12313.09
2014,September,9.15,480,56,57439,94040,25144,4173.06,14408.71
2014,October,8.23,485,58,59172,100772,25719,5382.52,13514.48
2014,November,6.76,462,61,56114,100125,20351,0,13206.74
2014,December,6.55,475,58,56735,102225,14602,198,16534.94
