year,month,averageSeaTemp,cages,localities,numberSalmon,biomass,feedConsumption,restock,withdrawals
2011,November,8.7697011233,324,59,52259.365,80517.567041,17648.887,242.596,14031.168816
2011,December,8.0137856238,297,50,48578.714,76000.797651,13011.547,0,14859.126714
2012,January,7.2078588831,289,45,45625.352,77835.875913,11126.01,0,6376.626338
2012,February,6.1995577347,270,45,44012.474,78783.891383,10099.144,0,8113.339116
2012,March,6.2783566171,250,48,42566.997,80646.29939,11950.552,99.45,8183.788794
2012,April,6.6403876378,263,52,45511.548,80030.813067,9649.471,4595.852,9262.576605
2012,May,7.0647352902,299,55,48388.439,84590.041402,13304.059,4788.557,6875.468796
2012,June,7.3481268936,314,56,46206.68,85443.232883,16834.993,1305.118,14383.435143
2012,July,8.1226336969,321,57,45711.852,96535.211995,23898.921,876.931,11026.005513
2012,August,8.6900684715,312,59,44597.938,107213.545517,31338.54,2762.741,15987.241827
2012,September,9.3826428098,330,63,45664.279,106629.226571,27890.379,5699.952,22103.517243
2012,October,8.6798640638,317,59,43030.01,103901.448107,23720.306,1966.004,19709.476096
2012,November,8.0947687974,315,58,39851.232,102360.679467,18736.847,288.037,14520.699028
2012,December,7.2686376554,293,50,36247.373,96948.670999,13505.455,0,14607.688278
2013,January,6.5359393832,270,46,32842.199,87973.691963,11499.229,0,18428.697833
2013,February,5.7295024643,249,44,30185.876,77889.412239,8438.312,88.952,15749.404167
2013,March,5.6281186882,251,48,31582.848,67248.441491,6484.46,4761.615,16146.609744
2013,April,5.4978717048,266,49,34356.626,57228.271116,6008.385,5861.148,14905.070855
2013,May,6.2989416233,292,53,39011.065,47570.674264,7630.132,6987.389,15293.722264
2013,June,7.1743436182,326,49,45115.152,49875.054677,10222.507,8273.966,6803.56785
2013,July,8.2441736676,335,51,44637.278,55578.316827,13759.187,1148.612,5641.26345
2013,August,8.9108573547,356,60,49006.46,61389.66844,17523.351,6489.792,8746.335772
2013,September,8.9876972652,393,66,56366.193,65088.31962,18972.665,10949.807,11953.026472
2013,October,8.6060761437,415,64,61397.923,72053.504164,18748.91,7240.481,9936.771839
2013,November,8.5353116873,414,59,59501.465,75842.548545,15934.127,199.99,8406.759417
2013,December,7.7000402848,420,57,58193.618,84287.917037,15933.032,0,4360.678804
2014,January,7.0303037922,396,58,56051.924,87394.894803,13432.632,0,8133.33219
2014,February,6.1411856249,371,56,54265.274,88706.541221,11671.404,0,8191.821789
2014,March,5.7956178819,363,57,53451.573,91897.750064,11991.863,759.672,6539.35845
2014,April,6.2505867634,373,62,54990.509,100441.597421,13601.424,2543.876,3669.532
2014,May,7.0281420769,393,65,57167.092,112893.655035,19433.624,2856.805,3664.781102
2014,June,7.6567165613,395,62,55595.472,120033.941924,24102.265,1252.626,11791.354547
2014,July,8.0662001881,372,62,50631.692,121803.687856,30325.881,378.542,23993.994724
2014,August,8.7648177518,345,62,46151.832,124365.498244,32491.35,1248.631,24786.200351
2014,September,8.9942902278,335,62,43576.27,122788.283261,30525.677,2404.584,24736.151208
2014,October,9.0781856759,310,55,40016.9,109416.620534,24264.83,2769.122,31532.940563
2014,November,8.7125669104,284,46,36766.668,103268.888244,21356.746,990.923,22812.1305
2014,December,8.0222621482,267,46,33016.58,98521.327131,17979.138,0,19091.168353
